Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
curtisjamesh;oklahoma city, oklahoma;64;51;30;june 6 2018;l eglise est ferme a l exception lorsque la messe est en cours;june 2018
rudy w;cartersville, georgie;36;23;40;may 29 2018;historical perspective;may 2018
nazkar14;north fort myers, floride;82;17;50;may 28 2018;another mission we visited on vacation in may 2018.;may 2018
qualityjoe;brunswick, ohio;61;21;50;may 20 2018;qualite joe s critique de la mission san juan capistrano;april 2018
onova2014;moscou, russie;774;400;30;may 14 2018;less to see...;may 2018
conniec779;dallas, texas;676;324;30;may 11 2018;just okay for us;may 2018
shuttrrbug;sugar land, texas;521;237;50;may 3 2018;white mission with bell tower still in use today;april 2018
diane p;long island, etat de new york;44;13;50;may 2 2018;great historical site;april 2018
robert s;chaska, minnesota;292;151;50;april 27 2018;very old;april 2018
beverly w;reading, pennsylvanie;24;9;50;april 25 2018;see them all;april 2018
allanjgj;wellington, nouvelle zelande;1570;1763;40;april 24 2018;only if you re collecting the set;april 2018
119krystlel;None;35;11;40;april 4 2018;peaceful and picturesque;april 2018
samanthao520;cincinnati, ohio;354;200;20;march 19 2018;lots of ruins;march 2018
sfron81;homewood, illinois;39;50;50;march 14 2018;must to see;march 2018
texastraveler052;plano, texas;36;7;50;march 12 2018;take guided tour;march 2018
faye l;sandston, virginie;182;58;50;march 8 2018;one of 5;march 2018
dianel103;lake placid, floride;232;143;40;march 8 2018;a quiet mission site;march 2018
jeannene a;hannacroix, etat de new york;561;270;40;february 5 2018;another beautiful mission;february 2018
bzimm08;okinawa prefecture, japon;1199;660;30;january 6 2018;significant but underwhelming;january 2018
anna_di_gi;roseto degli abruzzi, italie;100;16;40;may 27 2018;una missione piccolina;march 2018
82mac;varsovie, pologne;55;5;50;august 29 2018;zdecydowanie najciekawsza;august 2018
