Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
cjtravelertexas;bryan, texas;2056;2045;40;november 26 2018;vaut le detour;november 2018
0325johanna;boston, massachusetts;60;26;50;november 24 2018;charmant;november 2018
tstylst590;manassas, virginie;92;26;50;november 18 2018;passer le alamo;november 2018
716sachink;plainview, etat de new york;1113;17134;50;november 10 2018;la mieux conservee de toutes les missions a san antonio;february 2018
j1productionz;houston, texas;3;0;50;november 10 2018;historiquement beau;october 2018
firebear1961;saint louis, missouri;945;239;40;november 9 2018;gentil et libre;november 2018
rgl127;savannah;82;20;50;november 9 2018;bâtiment fascinant du temps jadis.;november 2018
bncrxplorerz;pittsburgh, pennsylvanie;294;328;50;november 8 2018;aucun trop mauvais pour l usure;october 2018
335bradf;gastonia, caroline du nord;167;78;50;october 27 2018;histoire sereine;october 2018
jules1881;None;64;31;50;october 17 2018;vaut le detour;october 2018
woutv598;amsterdam, pays bas;143;34;50;october 11 2018;le meilleur des missions;october 2018
travelmom252017;houston, texas;125;59;50;october 7 2018;paisible;october 2018
james r;lincoln, nebraska;31;53;50;october 2 2018;le meilleur des missions;october 2018
lovetogarden52;monroe, new jersey;316;88;50;october 2 2018;une des eglises a voir;september 2018
chinapjs;washington, district de columbia;3703;1085;40;september 30 2018;beautiful 200 year old mission;september 2018
funtimefamily12;lake ronkonkoma, etat de new york;661;271;30;september 5 2018;red ants;august 2018
cheryl c;san francisco, californie;72;32;50;august 31 2018;200 year old franciscan mission;august 2018
jim r;cullman, alabama;97;28;50;august 29 2018;my favorite;august 2018
scotte300;None;534;85;40;august 25 2018;really cool   historical place;june 2018
jim k;morrow, ohio;374;149;40;august 24 2018;quick   easy historical visit;august 2018
autumncs;singapour, singapour;187;123;50;august 22 2018;america s oldest unrestored stone church;august 2018
sylvia r;None;10;2;40;august 8 2018;interesting;july 2018
net2nd;wilmington, caroline du nord;96;32;50;july 25 2018;the best on the trail;july 2018
travelingtaina;texas;57;48;50;july 19 2018;a beautiful glimpse of history;june 2018
dee5555565;colleyville, texas;106;69;50;july 18 2018;mission trail;july 2018
sweetieleaguecity_tx;league city, tx;43;21;50;july 12 2018;beautiful grounds filled with god s presence;july 2018
psg2003;katy, texas;13;1;40;july 10 2018;our first stop;july 2018
ocean_rover_blue_wat;lafayette, louisiane;513;203;50;july 2 2018;one of the 4 missions on the trails;june 2018
joseph r;texas;8;2;40;june 18 2018;mission concepcion memorial;march 2018
alaena h;fairbanks, alaska;67;128;50;june 14 2018;magnifique ;may 2018
masterchiun;ottawa, canada;117;58;40;june 10 2018;good background on the religious aspect of the missions;june 2018
rudy w;cartersville, georgie;36;23;50;may 29 2018;magnifique;may 2018
nazkar14;north fort myers, floride;82;17;50;may 28 2018;one of the 5 we visited on vacation to san antonio.;may 2018
qualityjoe;brunswick, ohio;61;21;50;may 20 2018;qualite joe s critique de la mission concepción;april 2018
t6895hpkevins;ann arbor, michigan;745;264;50;may 18 2018;2nd stop on our tour of san antonio missions;april 2018
bill v;anaheim, californie;207;64;40;may 17 2018;beautiful relic;may 2018
onova2014;moscou, russie;774;400;40;may 14 2018;the smallest;may 2018
211johnm;maryland, usa;54;46;40;may 13 2018;a great historical supplement to the alamo;may 2018
conniec779;dallas, texas;676;324;50;may 11 2018;beautiful church;may 2018
dolores d;san antonio, texas;44;33;50;may 7 2018;church visit;may 2018
shuttrrbug;sugar land, texas;521;237;50;may 3 2018;best preserved mission, great chapel, closest to alamo;april 2018
robert s;chaska, minnesota;292;151;50;april 27 2018;historical;april 2018
allanjgj;wellington, nouvelle zelande;1570;1763;50;april 25 2018;charming church;april 2018
beverly w;reading, pennsylvanie;24;9;50;april 25 2018;see them all;april 2018
chuck d;alpine, californie;513;135;50;april 22 2018;quick visit;april 2018
steve p;redcliffe, australie;490;367;40;april 17 2018;a good place to walk too.;march 2018
rockofrages;phoenix, arizona;135;54;40;april 17 2018;peaceful place;april 2018
kenneth t;conway, caroline du sud;153;42;40;april 9 2018;impressive place;april 2018
eric h;seattle, etat de washington;24;4;40;april 8 2018;this is an amazing church you need to see;april 2018
119krystlel;None;35;11;40;april 3 2018;very serene mission.;april 2018
kayellen2014;san antonio, texas;31;12;50;march 28 2018;artwork;march 2018
rebplay;arkansas;200;173;50;march 25 2018;wonderful;march 2018
samanthao520;cincinnati, ohio;354;200;50;march 19 2018;beautiful church;march 2018
vintagejunge;buffalo, etat de new york;74;73;50;march 15 2018;a beautiful mission;march 2018
texastraveler052;plano, texas;36;7;50;march 12 2018;take a guided tour;march 2018
faye l;sandston, virginie;182;58;50;march 8 2018;one of my favorites;march 2018
dianel103;lake placid, floride;232;143;40;march 8 2018;worthwhile site;march 2018
tachannkristine;hannibal, missouri;42;9;50;march 5 2018;incredibly beautiful inside;march 2018
travel96;travel;45;17;50;march 5 2018;mission;february 2018
jake23121;new jersey;2029;10066;40;february 20 2018;very cool;february 2018
t6478vxericl;akron, ohio;138;62;50;february 17 2018;stunning;february 2018
thelaings;dover, delaware;5;1;50;february 9 2018;missions de san antonio;january 2018
lovenepal72;venise, floride;1518;536;50;february 7 2018;bien contents de l avoir fait.;february 2018
jabby b;manchester, new hampshire;159;66;40;february 6 2018;history buffs;february 2018
jeannene a;hannacroix, etat de new york;561;270;40;february 5 2018;largest mission on the trail;february 2018
amydeloach;palmer, alaska;137;62;50;february 4 2018;small mission;february 2018
sandy f;hot springs, arkansas;96;30;50;january 27 2018;my favorite;january 2018
crivsuar;guayama, porto rico;94;26;50;january 26 2018;quick visit;january 2018
mary s;san antonio, texas;39;5;50;january 16 2018;quaint mission;january 2018
115stephena;indian trail, caroline du nord;241;63;50;january 14 2018;religious conversion as a national policy;january 2018
bzimm08;okinawa prefecture, japon;1199;660;40;january 6 2018;interesting, bigger then expected;january 2018
mockey47;prefecture de chiba , japon;451;115;50;february 28 2018;ミッショントレイルの入口;january 2018
kris_paula_vb;zonhoven, belgique;252;114;40;may 11 2019;bezoek aan mission cenception;april 2019
