Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
nowpacking;dallas, texas;1181;462;50;december 20 2018;just beautiful;december 2018
gumgrove;spring, texas;558;189;50;december 19 2018;final stop on mission trail;december 2018
cjtravelertexas;bryan, texas;2056;2045;40;november 26 2018;une autre mission historique;november 2018
0325johanna;boston, massachusetts;60;26;50;november 24 2018;merveilleux;november 2018
716sachink;plainview, etat de new york;1113;17134;40;november 10 2018;qui vaut le coup d être visite;february 2018
bncrxplorerz;pittsburgh, pennsylvanie;294;328;50;november 8 2018;jardin des delices;october 2018
usalouise;illinois;170;128;50;november 7 2018;petit mais charmant;october 2018
funtimefamily12;lake ronkonkoma, etat de new york;661;271;30;september 5 2018;looks like it did in 1731;august 2018
jim r;cullman, alabama;97;28;50;august 29 2018;this was first stop;august 2018
alan c;floresville, texas;9;0;50;august 26 2018;a history we almost cant imagine but... it happened here first.... hundreds of years ago.;august 2018
autumncs;singapour, singapour;187;123;50;august 23 2018;charming place with no crowds;august 2018
ccalvillo8;None;65;19;40;august 20 2018;beautiful place to visit;august 2018
davej708;texarkana, texas;168;43;40;july 24 2018;farthest south mission;july 2018
poserk13;saint petersbourg, floride;199;58;50;july 17 2018;beautiful;april 2018
ocean_rover_blue_wat;lafayette, louisiane;513;203;50;july 2 2018;a lesser mission;june 2018
lovebooks51;edwardsville, illinois;129;30;50;june 28 2018;small but charming;june 2018
curtisjamesh;oklahoma city, oklahoma;64;51;40;june 6 2018;one of the missions to explore and come to.;june 2018
cepjr238;virginia beach, virginie;77;22;50;june 2 2018;ca vaut le detour ;april 2018
nazkar14;north fort myers, floride;82;17;50;may 28 2018;one of the (5) missions we visited on our vacation.;may 2018
qualityjoe;brunswick, ohio;61;21;50;may 20 2018;quality joe s review of mission san francisco de la espada;april 2018
onova2014;moscou, russie;774;400;40;may 14 2018;small and convinient;may 2018
conniec779;dallas, texas;676;324;50;may 11 2018;lovely grounds and church;may 2018
shuttrrbug;sugar land, texas;521;237;50;may 3 2018;photographers paradise, smallest and most unique mission in san antonio;april 2018
robert s;chaska, minnesota;292;151;50;april 27 2018;my favorite;april 2018
allanjgj;wellington, nouvelle zelande;1570;1763;50;april 25 2018;the bells, the bells;april 2018
beverly w;reading, pennsylvanie;24;9;50;april 25 2018;see them all;april 2018
linda h;anderson, south carolina;294;74;40;april 23 2018;worth a visit for history buffs;april 2018
119krystlel;None;35;11;40;april 4 2018;whitewash mission with adorable cottage;april 2018
samanthao520;cincinnati, ohio;354;200;20;march 19 2018;lots of ruins;march 2018
rod k;nokomis, floride;494;163;40;march 13 2018;at the southern end of mission trail, but worth the visit;march 2018
davisjd2017;salisbury, caroline du nord;66;10;50;february 13 2018;mission espada;january 2018
jeannene a;hannacroix, etat de new york;561;270;40;february 5 2018;glad we went;february 2018
vanski;ottawa, canada;110;35;50;february 4 2018;excellent architecture;january 2018
stephan e;angeles city, philippines;290;118;30;january 30 2018;this mission would be 3rd place of the four missions;january 2018
bzimm08;okinawa prefecture, japon;1199;660;50;january 6 2018;small and beautiful;january 2018
123sdf;seoul, coree du sud;358;40;50;august 20 2018;개인적으로 미션들 중 가장 아름다웠던 미션 에스파다;july 2018
