Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
travelincacouple;el cajon, california;45;68;40;10/2020;arrêt interessant;09/2020
retphcs;donna, texas;210;74;50;09/2020;300 ans d histoire;09/2020
robert g;houston, texas;391;68;50;08/2020;c etait vraiment cool;08/2020
thomas v;oakland, californie;11092;3012;40;07/2020;site historique;01/2020
stanmasters14;blissfield, michigan;125;21;50;07/2020;un arrêt le long du mission trail;06/2020
bethstin;chicago, illinois;61;55;50;06/2020;excellent;06/2020
karen c;bensalem, pennsylvanie;124;40;40;04/2020;site historique;03/2020
lindadm6536au;None;19;3;40;03/2020;missions;09/2019
954gagec;houston, texas;41;11;50;03/2020;la plus grande et la meilleure des missions;03/2020
connie w;radford;40;10;50;03/2020;visite de la mission;03/2020
gdavid888;None;14;3;40;03/2020;magnifique;03/2020
traveler123michigan;michigan;60;5;50;03/2020;incroyablement interessant;02/2020
jeff v;None;42;9;50;03/2020;toutes les missions.;03/2020
chrisjim32;detroit, michigan;108;57;30;03/2020;beau bâtiment;02/2020
timginmn;maple grove, minnesota;59;18;50;03/2020;magnifique et historique   et sur la ligne d autobus des missions de via;02/2020
pipermeadow;milford, massachusetts;28;41;50;03/2020;loved it;02/2020
jamesw8044;None;23;44;50;03/2020;amazing history;02/2020
jrc24;springville, utah;169;56;50;03/2020;stop the mission that you must see when visiting san antonio;02/2020
bobkathy;nouvelle orleans, louisiane;182;49;50;03/2020;an interesting part of history in san antonio;02/2020
ruthf953;portland, oregon;259;114;40;03/2020;great history;02/2020
bandman;scott, louisiane;793;533;50;03/2020;very nice.... lots of walking;02/2020
e8587ifdawns;None;10;2;50;02/2020;mission san jose;02/2020
riverdog_23;missouri;156;66;50;02/2020;incroyable;02/2020
beverly k;lincoln;159;36;50;02/2020;grande visite;02/2020
bucketlister53;None;12;1;50;02/2020;visite du grand parc national;02/2020
bill j;akron, ohio;240;82;40;02/2020;visite interessante;02/2020
travelingtammyprce;park rapids, minnesota;51;28;50;02/2020;une halte interessante;01/2020
jimmy g;friendswood, texas;42;23;50;02/2020;histoire impressionnante;02/2020
shayfree;little rock, arkansas;237;128;20;02/2020;vous devez avoir un gps pour trouver cette mission;02/2020
emguy;newburgh, indiana;32;29;50;02/2020;tres interessant;02/2020
elusivearmadillo;None;10;16;50;02/2020;meilleur endroit pour commencer avant le reste des missions;02/2020
199chuckr;averill park, etat de new york;84;43;50;02/2020;sensationnel;01/2020
c2002shmarkm;ada, michigan;258;127;50;02/2020;l histoire presentee avec respect;02/2020
rcjetskier;santa clara, californie;413;183;50;02/2020;another piece of history;02/2020
holly h;powell, ohio, united states;173;104;50;02/2020;la mission est bien preservee;01/2020
johnpconnolly;boise, idaho;47;48;50;02/2020;a voir;01/2020
james f;dayton, texas;25;47;50;02/2020;bon moment pour visiter une partie de l histoire.;02/2020
thomasc1006;dallas, texas;69;31;50;02/2020;un incontournable;04/2019
pec95;san diego, californie;184;113;50;01/2020;beau site historique   terrain bien entretenu;01/2020
aprilmcarroll;None;83;45;50;01/2020;stupefiant;01/2020
boo2u;bowie, maryland;328;334;50;01/2020;c est la plus grande des missions;12/2019
y1714qhkayd;None;3;0;50;01/2020;don t miss mission san jose;01/2020
956dianec;cleveland, ohio;35;28;40;01/2020;vaut le detour, c est gratuit et vraiment joli;12/2019
cindy g;san antonio, texas;373;127;50;01/2020;bel endroit pour les photos;10/2019
gbamandar;green bay, wisconsin;170;59;50;01/2020;doit faire;01/2020
ddawnb75;newton falls, ohio;17;10;50;01/2020;grande histoire;01/2020
rick c;irving, texas;249;146;50;01/2020;super endroit a visiter a san antonio;12/2019
randifayec;longwood, floride;972;324;50;01/2020;plus a voir ici;12/2019
stephen366;greater london, royaume uni;140;103;50;01/2020;interessant;01/2020
traveling2learnmuch;shawnee, oklahoma;19;24;50;01/2020;super endroit a visiter;01/2020
aaroni;san jose, californie;135;54;50;01/2020;heureux que nous ayons visite a san antonio;01/2020
tabristoluk;bristol, royaume uni;56;30;50;01/2020;personnel genial et un excellent endroit a visiter et a comprendre;01/2020
dizzybeez;culpeper, virginie;18;21;50;01/2020;mission san jose;01/2020
sheala v;None;17;41;50;01/2020;enorme;12/2019
annaramosrealtor;san antonio, texas;53;47;50;01/2020;l une des plus belles missions;03/2019
joern5828yq;detroit, michigan;51;34;50;01/2020;great stop sur mission trail;12/2019
davisellu;baltimore, maryland;392;174;50;01/2020;history lives here;12/2019
kbia1172;None;31;50;50;12/2019;very nice mission;12/2019
tracy p;rolla;28;45;50;12/2019;christmas vacation;12/2019
granolasmp;grapevine,;8;0;50;12/2019;beautiful grounds;12/2019
lisabinnyc;new york, etat de new york;206;133;50;12/2019;beautiful biking and history;12/2019
dianama5317xe;carlsbad, nouveau mexique;59;36;50;12/2019;tellement informatif;12/2019
adeel l;burnsville, minnesota;200;63;30;12/2019;une des missions en mission;12/2019
david g;north port, floride;118;25;50;12/2019;premiere visite;12/2019
fernandezmunoz;doral, floride;94;50;50;12/2019;le joyau des missions de san antonio;12/2019
luke c;vienna, virginie;67;56;50;12/2019;la meilleure mission espagnole restauree que j ai jamais visitee;12/2019
razorface50;houston, texas;17;28;50;12/2019;une mission espagnole originale si belle et si historique;12/2019
gingers44;shreveport, louisiane;15;2;40;11/2019;grand tour;11/2019
grover r;pensacola, floride;1803;1085;50;11/2019;le titre bien merite de la reine des missions;11/2019
goldeneye;austin, texas;11;4;50;11/2019;morceau d histoire interessant;11/2019
kareng98;san antonio, texas;464;142;50;11/2019;un peu d histoire incroyable ici même a san antonio;10/2019
travelerfromsj;san jose, californie;507;665;50;11/2019;reine des missions;11/2019
tmacco1;menasha, wisconsin;98;34;40;11/2019;state park avec une grande histoire.;11/2019
arnold s;helena, montana;121;56;50;11/2019;la plus grande mission;11/2019
millerdb;tolland, connecticut;195;91;40;11/2019;une experience tres interessante;11/2019
tommypowers1966;californie;124;27;50;11/2019;tous;11/2019
symiman;southampton, royaume uni;48;19;50;11/2019;mission informative;11/2019
lollitravels2;None;44;47;50;11/2019;mission san jose;11/2019
louiseatlanta1;atlanta, georgie;139;129;50;11/2019;le plus grand;11/2019
gregoryw184;orlando, floride;11;17;50;11/2019;faites le tour;11/2019
casallese;baltimore, maryland;368;249;40;11/2019;une tranche d adn du sud ouest;10/2019
wkpp;north richland hills;21;5;50;11/2019;lecon d histoire;11/2019
travelingmomandboys;None;18;24;50;11/2019;best guided tour;03/2019
kornelijab2017;cimarron hills, colorado;12;6;50;11/2019;very impressive;11/2019
mzberre;None;5;0;40;10/2019;mission san jose;10/2019
pemiadsm;None;29;47;40;10/2019;bon endroit a visiter apres l alamo;10/2019
the_lawson_family;las vegas, nevada;137;115;50;10/2019;very nice;10/2019
ncgirls2019;None;3;0;50;10/2019;mariachi mass;10/2019
jan j;None;2;0;50;10/2019;mariachi et priere;10/2019
scottf1732;cheyenne, wyoming;37;51;50;10/2019;j ai adore l histoire;10/2019
417juliec417;glen ellyn, illinois;50;49;50;10/2019;a voir;10/2019
brambleyone;west midlands;102;102;50;10/2019;un must a s antonio;10/2019
suzyqu15;brooklyn, etat de new york;994;387;50;10/2019;historique et beau;10/2019
josue c;new haven, connecticut;254;93;50;10/2019;spiritual, historical, and architectural;09/2019
jet790508;san antonio, texas;4;0;40;10/2019;grand centre d accueil;10/2019
ianbeavis;los angeles, californie;591;190;40;10/2019;site impressionnant;10/2019
don t;brisbane, australie;186;99;50;10/2019;excellent;07/2019
sndovale;lincoln, californie;936;352;40;10/2019;yes;10/2019
john w;san antonio, texas;8;9;40;10/2019;histoire;10/2019
texasterrisa_tx;san antonio, texas;70;27;50;10/2019;veritable experience de mission;10/2019
terry h;lincoln, nebraska;535;137;50;10/2019;visite tres interessante;10/2019
letsgoden;denver, colorado;245;111;50;10/2019;beautiful;10/2019
rgb390;winter springs, floride;65;44;50;10/2019;super truc;10/2019
keffan;o fallon, illinois;64;121;50;10/2019;visite agreable;10/2019
ddks78;tacoma, etat de washington;62;35;50;10/2019;serenite paisible;10/2019
camp007;indianapolis, indiana;16;19;50;09/2019;tour paisible;09/2019
brandon b;None;18;1;40;09/2019;visite d apres midi;09/2019
dawn c;virginia beach, virginie;104;75;50;09/2019;belle mission;08/2019
coreonerealestate;plano, texas;2;1;50;09/2019;une place speciale dans mon coeur;09/2019
wild4stars;winter haven, floride;12;0;50;09/2019;impressionnant;08/2019
steve t;None;260;108;50;08/2019;doit être;08/2019
q9349afmichelet;None;2;0;50;08/2019;tour de mission;08/2019
familytipsfortrips;san antonio, texas;46;64;50;08/2019;patrimoine mondial de l unesco;08/2019
ckirklen;None;8;2;40;08/2019;grand centre d accueil des visiteurs, film et visite gratuite des gardes de parc dans la mission.;08/2019
martha l;titusville, floride;58;17;50;08/2019;vaut le voyage;06/2019
elsa a;None;26;43;50;08/2019;d accord, c est une mission a voir absolument. assurez vous de participer a la visite guidee des rangers. recommande fortement;08/2019
bthompson777;urbandale, iowa;32;6;50;08/2019;bon site historique;07/2019
bsfr4cats;mobile, alabama;9;2;50;08/2019;quelle histoire incroyable.;08/2019
bohste;georgetown, texas;453;372;40;08/2019;une promenade dans l histoire du texas;08/2019
d6807tlstevec;bethlehem, pennsylvanie;193;137;50;08/2019;a voir;07/2019
evaf2eva;weissenburg in bayern, allemagne;1199;570;50;07/2019;lieu historique interessant;07/2019
doris w;None;124;87;40;07/2019;grande architecture;12/2018
iheartcolorado;fortson, georgie;60;18;50;07/2019;arbres cool;07/2019
j7594zmkerryh;new hope, pennsylvanie;9;1;50;07/2019;interessant;07/2019
cynthia_02;myrtle beach nord, caroline du sud;13;15;50;07/2019;si vous êtes amateur d histoire, vous devez y aller.;06/2019
749rachelm;austin, texas, united states;61;20;50;07/2019;beau spectacle a voir;07/2019
yoi1990;spring, texas;34;54;50;07/2019;visite a la mission san jose;07/2019
gram07_10;dallas, texas;49;5;30;07/2019;closes before posted time;07/2019
lcsz3zigzags;battle ground, etat de washington;5;1;50;07/2019;mission entierement restauree;07/2019
danbud;houston, texas;231;70;50;07/2019;grande promenade dans l histoire;07/2019
m448zskathleenw;mandeville, louisiane;35;28;50;07/2019;most expansive mission;07/2019
cindy l;None;5;0;50;07/2019;visitez mission san jose avant l alamo;07/2019
we5lovetotravel92;None;72;45;50;07/2019;aime;07/2019
texantravels;taylor, texas;58;25;50;07/2019;paisible;07/2019
tripster036;san juan, porto rico;97;19;50;06/2019;freaks d histoire accueillis;06/2019
tomc701;danville, illinois;395;117;50;06/2019;plein d histoire;06/2019
g9377bdrobertc;terrytown, louisiane;9;2;50;06/2019;si vous aimez l histoire, vous allez adorer ce site.;06/2019
joe j;southington, connecticut;59;13;50;06/2019;j ai apprecie cette mission le meilleur.;06/2019
19nitnjain;None;27;44;50;06/2019;promenade du patrimoine;06/2019
graemem548;christchurch, nouvelle zelande;557;102;50;06/2019;temps fort a san antonio;06/2019
wnterhawk;galway, etat de new york;53;43;50;06/2019;the mission;05/2019
mojomo;texas;397;221;50;06/2019;reine des missions;06/2019
sharon g;lubbock, texas;186;51;50;06/2019;beaux terrains et bâtiments;06/2019
theresaj25;dudley, west midlands;40;54;50;06/2019;un endroit charmant;06/2019
debbie s;longview, texas;251;115;40;06/2019;belle mission;11/2018
bridget815;etats unis;87;21;50;06/2019;libre;06/2019
meefalexandria_va;alexandria, va;20;51;50;06/2019;mariachi mass;06/2019
noel s c;tulsa, oklahoma;19;5;40;06/2019;tres interessant;06/2019
dasg23;None;102;34;50;05/2019;genial;03/2019
karin n;boca raton;64;19;50;05/2019;incroyable;05/2019
necie908;sulphur, louisiane;35;9;50;05/2019;etourdissant;05/2019
lusion1;kansas city, missouri;47;37;40;05/2019;merveilleux endroit pour explorer et apprendre.;06/2018
windstarid;twin falls, idaho;181;113;30;05/2019;tu devrais visiter une mission;05/2019
jurgen b;bruxelles, belgique;2532;697;50;05/2019;tres belle et grande mission avec beaucoup d espaces separes;04/2019
taxmanken;lebanon, pennsylvanie;191;85;50;05/2019;tres interessant et educatif;05/2019
zr900man;wny;39;11;50;05/2019;grands chemins;05/2019
asdavis14;fort worth, texas;83;53;50;05/2019;realistic representation of mission life;05/2019
thunderbow;None;4;1;40;05/2019;nice relaxing time checking out this amazing 1720 mission;05/2019
ragdeedgar;san juan, porto rico;84;45;50;05/2019;pas le temps de les voir tous visitez misi n san jos;05/2019
getowork;san antonio, texas;40;4;50;05/2019;easy mission education;05/2019
joshuaks3869iy;brownfield, texas;26;5;40;05/2019;voir ce morceau d histoire avant qu il ne tombe;05/2019
destination308418;san antonio, texas;22;2;50;05/2019;mission trails are an awesome day activity;02/2019
dave b;seguin, texas;132;47;50;05/2019;partie du sentier de la mission;03/2019
michaelsx3465ik;spooner, wisconsin;79;36;40;05/2019;beuatiful church;04/2019
christina w;glen gardner, new jersey;19;5;50;05/2019;vaut le detour de la ville;05/2019
absolutelysealed454;darien center, etat de new york;42;51;50;05/2019;inspirational;06/2018
peterhillslewes;lewes, royaume uni;313;151;40;05/2019;une visite interessante;05/2019
fellowtraveler14380;rochester, etat de new york;11;0;50;05/2019;a voir absolument;04/2019
lynda w;None;10;1;50;04/2019;magnifique;04/2019
john d;norwich, royaume uni;88;30;50;04/2019;passionne d histoire doit visiter;04/2019
jp_y_lp;portland, oregon;276;141;50;04/2019;visite essentielle belle eglise;04/2019
troy s;san antonio, texas;118;53;50;04/2019;un des incontournables;04/2019
michaelo177;prague, republique tcheque;640;654;40;04/2019;easy drive   belle mission;04/2019
fergiedad;port townsend, etat de washington;1119;407;40;04/2019;une grande mission;04/2019
janice r;henrietta, etat de new york;256;101;50;04/2019;incroyable;03/2019
clare h;scranton, pennsylvanie;90;67;40;04/2019;ca vaut le detour si vous avez une voiture;04/2019
purplepaloma;san antonio, texas;160;114;50;04/2019;mission san jose;03/2019
swimfins;houston, texas;637;208;50;04/2019;grand site bien preserve;04/2019
ogibbs;euless, texas;157;31;50;04/2019;tres bon;04/2019
hermes_nl;amsterdam, pays bas;2360;41164;50;04/2019;etablissement espagnol d origine bien preserve, fonde en 1720;04/2019
william m;belleville, illinois;412;113;50;04/2019;tres interessant a visiter;04/2019
cmsgt ret;san antonio, texas;56;33;50;04/2019;visiting one of the missions;04/2019
twansome;san antonio, texas;12;1;40;04/2019;vivez l experience de vivre dans les murs de ce site magnifique et toujours actif de l eglise catholique;02/2019
shields1954;tuscaloosa, alabama;148;69;40;04/2019;si interessant;04/2019
m e r;boynton beach, floride;384;170;40;04/2019;well a preserve la mission franciscaine avec un centre d accueil developpe;04/2019
mary d;chutes du niagara, canada;21;17;50;04/2019;une beaute;04/2019
263yelenas;houston, texas;7;1;50;04/2019;bon endroit pour s eloigner de la ville pendant un moment;04/2019
terry m;clarion, united states;5;0;50;04/2019;grande histoire de la region;03/2019
sheffnjay;durango, colorado;45;19;50;04/2019;passer le alamo ... venez a mission san jose;03/2019
kand1955;salt lake city, utah;115;70;50;04/2019;apprecie plus que l alamo;04/2019
ginabx2742rq;morristown, new jersey;113;69;30;04/2019;activite de groupe pendant une conference professionnelle;04/2019
amy w;new braunfels, texas;21;5;40;04/2019;grand arrêt sur le terrain;04/2019
christine r;logan, utah;235;131;40;04/2019;obtenez un tour de garde forestier;04/2019
adrienne g;dallas, texas;22;10;50;04/2019;experience historique a couper le souffle;04/2019
don d;atlanta, georgie;107;52;50;04/2019;le meilleur des missions;04/2019
timothy m;groton, united states;143;15;40;04/2019;le meilleur des missions;04/2019
wandering_explorers;san antonio, texas;71;13;50;04/2019;la vraie mission de voir;05/2018
hoagies;delta junction, ak;36;35;50;04/2019;historique;03/2019
familytrek2;None;5;0;50;04/2019;interessant;03/2019
venture465502;princeton, minnesota;175;85;50;03/2019;histoire revisitee;03/2019
stephen s;colorado springs, colorado;53;31;40;03/2019;old world in texas;03/2019
184rhondab;huntington, virginie occidentale;31;7;50;03/2019;tour de bicyclette;03/2019
bjornesbror;saint cloud, minnesota;75;8;40;03/2019;intyerseting site historique;03/2019
jjohn10498;fort worth, texas;30;4;50;03/2019;humiliation;03/2019
moncoer;peterborough, canada;465;181;50;03/2019;une partie de la mission;03/2019
hatcheraz;None;20;49;50;03/2019;vaut votre temps;03/2019
julieroadtrip;None;250;79;50;03/2019;beautiful, peaceful place;03/2019
azureokie;hutchinson, kansas;18;3;50;03/2019;interesting for history lovers;03/2019
joshandjenna117;charleston, caroline du sud;31;5;40;03/2019;comprenez vos attentes;03/2019
theflipfloptraveler;kerrville, texas;79;102;50;03/2019;super endroit a visiter;08/2018
tracy p;harrisburg, pennsylvanie;107;33;40;03/2019;take the ranger tour;03/2019
maapar;mount pleasant, caroline du sud;716;263;50;03/2019;le clou de notre voyage;02/2019
saexplorers;little rock, arkansas;141;40;50;03/2019;site historique local;03/2019
kafaiz;None;40;8;50;03/2019;le plus interessant d entre eux;03/2019
julie o;brooklyn park, minnesota;68;34;50;03/2019;midi mariachi masse;03/2019
lkschaub;dallas, texas;22;24;50;03/2019;belles pieces de l histoire du texas;03/2019
olivert340;blaine, minnesota;52;10;50;03/2019;awesome history lesson;03/2019
cruz c;san antonio, texas;16;2;40;03/2019;well kept piece of history;07/2018
860susanb860;rockwall, texas;1019;343;50;03/2019;beautiful mission and grounds;02/2019
t1andjoyce;peoria, illinois;213;74;50;03/2019;beautiful missions;03/2019
jer154984;st. catharines, canada;221;90;40;03/2019;catch un garde forestier pour une visite;03/2019
zenobia240;australie;272;109;40;03/2019;riche en histoire;02/2019
thomas h;san antonio, texas;101;34;50;03/2019;faire. ne pas. manquer;01/2019
reynaldoc24;san antonio, texas;40;5;50;03/2019;le joyau de toutes nos missions;02/2019
chuck r;None;25;29;50;03/2019;belle;02/2019
rena d;san antonio, texas;52;10;40;02/2019;fascinating history;02/2019
debh49749;indian river, michigan;214;78;50;02/2019;a slice of history;02/2019
danandcollette;fairplay, colorado;269;138;40;02/2019;longue marche pour voir une belle mission;01/2019
kiki s;charleston, virginie occidentale;88;38;50;02/2019;testament to history;04/2018
journallife;muskoka lakes, canada;37;18;50;02/2019;impressionnant, belle oasis;02/2019
sidchen2017;menlo park, californie;164;117;50;02/2019;la plus impressionnante des missions de san antonio;02/2019
holly w;reading, pennsylvanie;410;150;50;02/2019;if you love decorative churches you must stop here;02/2019
auntiem64;eastern nc;294;268;50;02/2019;prenez le temps de voir cet endroit;02/2019
nannina2016;hudson, new hampshire;14;5;40;02/2019;experience interessante;02/2019
carole m;des moines, united states;155;77;50;02/2019;deux siecles d histoire;02/2019
brent s;alberta, canada;60;28;50;02/2019;very informative, most successful mission in san antonio, free tours;02/2019
bill b;None;66;12;50;02/2019;le meilleur des missions;02/2019
b6711qqdavidb;key largo, floride;100;66;40;02/2019;great afternoon exploring;02/2019
lvsquared;san antonio, texas;343;109;50;02/2019;fascinant;01/2019
loriehines63;science hill, kentucky;22;2;40;02/2019;l histoire se devoile;02/2019
doc r;thonotoassa;102;8;40;02/2019;great place for history buff,;07/2018
384robertam;casper, wyoming;49;24;50;02/2019;vaut le voyage;02/2019
mcneill6687;columbia, caroline du sud;69;49;50;02/2019;peu soignee si histoire;02/2019
b1714d;belgrade, serbie;3780;3008;40;02/2019;faites en votre premier a visiter;01/2019
simoncarlo3;cabo rojo, porto rico;179;50;50;02/2019;visite a san antonio;02/2019
andykansascity;kansas city;802;213;50;02/2019;belle mission;02/2019
neal b;clinton, ohio;138;40;50;02/2019;le tour de mission est gratuit avec une grande histoire;02/2019
sgeries;yukon, oklahoma;106;32;50;02/2019;belle mission;02/2019
tom s;paducah, kentucky;151;34;50;02/2019;visitez toutes les missions;01/2019
lovechickens;santa paula, ca;70;45;30;02/2019;nous avons apprecie la mission ...;10/2018
elaineg570;brandon, floride;581;205;40;02/2019;magnifique tranche d histoire;01/2019
bwanderer1;everett, etat de washington;590;175;50;01/2019;second of four heading south to north;12/2018
way2muchfun52018;east derry, new hampshire;56;29;50;01/2019;mariachi mass;01/2019
unool;chippenham, royaume uni;159;32;50;01/2019;site historique incroyable;01/2019
w9698wojamesc;getzville, etat de new york;82;29;50;01/2019;great step back in time;01/2019
meast54698;seattle, etat de washington;49;47;50;01/2019;missions;12/2018
helene g;iroquois, canada;99;65;40;01/2019;vaut la peine d être vu;01/2019
helenr2018;kerrville, texas;9;1;50;01/2019;messe du dimanche midi;12/2018
jreed1122;louisville, kentucky;53;11;30;01/2019;quand le gouvernement rouvrira;01/2019
randy3357;cleveland, ohio;9;2;50;01/2019;mission san jose;01/2019
ladybug59;florida;200;82;50;01/2019;neat place;12/2018
m8513wwsharon;hackettstown, new jersey;34;6;50;01/2019;beau et bien conserve;12/2018
bassboat;cocoa;10;3;50;01/2019;mission san jose, san antonio, tx;12/2018
honrev84;None;29;1;50;01/2019;a voir absolument;12/2018
dove_ftc;oklahoma city, oklahoma;8;2;50;01/2019;grande histoire;12/2018
carron d;bismarck, dakota du nord;327;106;30;12/2018;une autre eglise sur le sentier de la mission;12/2018
anthony wayne m;newport, royaume uni;163;184;40;12/2018;worth a visit;12/2018
melodym402;keller, texas;5;0;50;12/2018;endroit magnifique;12/2018
bluzee;usa;141;82;50;12/2018;hou la la un vrai bijou;12/2018
jondkinn;saint louis, missouri;95;20;50;12/2018;a velo;12/2018
bharkins814;san antonio, texas;76;11;50;12/2018;mission san jose, san antonio, tx;04/2018
extroop;fort worth, texas;102;34;50;12/2018;j adore les missions, san jose tres jolie.;12/2018
o5509dlrickw;dallas, texas;162;86;50;12/2018;grande histoire;12/2018
josal5000;tampa, floride;7;5;50;12/2018;bon voyage, loin de l animation riverwalk;12/2018
nowpacking;dallas, texas;1181;462;50;12/2018;histoire du sud du texas;12/2018
gumgrove;spring, texas;558;189;50;12/2018;great history lesson;12/2018
theresa d;None;22;4;50;12/2018;les missions sont magnifiques;06/2018
1649409;bioggio, suisse;232;126;30;12/2018;vaut le detour;11/2018
lovinglifeonthemove;san antonio, texas;21;30;50;12/2018;la plus grande de toutes les missions;12/2018
elisa b;niagara on the lake, canada;278;150;40;12/2018;belle visite;12/2018
packers000;east dubuque, illinois;63;7;50;12/2018;belle visite de mission;12/2018
nebraskatravler69363;michigan;122;69;50;12/2018;tellement d histoire;12/2018
sgtshan;muncie, indiana;107;58;50;12/2018;texas en decembre;12/2018
walterk550;huntsville, alabama;91;15;50;12/2018;une visite incontournable;12/2018
grace c;indianapolis, indiana;73;15;50;12/2018;tres interessant;12/2018
greg p;bridgeton, new jersey;703;216;50;12/2018;great mission   vous devez vous arrêter;12/2018
betty b;None;106;48;40;12/2018;too little time;11/2018
marilyn f;athens, alabama;93;27;50;12/2018;very interesting history;11/2018
ftmyerstony71;fort myers, floride;132;37;50;12/2018;plus impressionnant que the alamo;12/2018
t6352bqchristophers;denver, colorado;96;56;50;12/2018;vaut la visite;11/2018
cjtravelertexas;bryan, texas;2055;2045;50;11/2018;un voyage dans l histoire;11/2018
miamitexmex;coral gables, floride;44;52;50;11/2018;masse;11/2018
lynn s;None;15;3;50;11/2018;mission avec beaucoup d histoires;11/2018
0325johanna;boston, massachusetts;60;26;50;11/2018;belle;11/2018
kzsull01;windsor, connecticut;323;248;40;11/2018;une mission avec une architecture impressionnante et de beaux terrains bien entretenus;11/2018
marianne m;longmont, united states;52;9;50;11/2018;une marche digne de ce nom dans la mission;11/2018
danielleboard;None;30;27;50;11/2018;aimer;08/2018
sket101;lima;990;398;50;11/2018;tour des rangers;11/2018
jonandlaura1;eureka springs, arkansas;226;34;50;11/2018;le sentier de la mission;11/2018
c2ctrader;rogers, arkansas;34;2;50;11/2018;merveilleux endroit a visiter;11/2018
putnam b;seattle, etat de washington;58;24;50;11/2018;soigneusement restauree, la mission san jose offre une vue imprenable sur l histoire du texas;11/2018
davidrc4704ko;None;59;14;50;11/2018;un must en plus de l alamo;11/2018
samanthandtravismom;kenora, canada;123;65;50;11/2018;allez pour la messe mariachi;10/2018
716sachink;plainview, etat de new york;1113;17134;50;11/2018;hautement recommande;02/2018
rgl127;savannah;82;20;50;11/2018;l histoire;11/2018
bncrxplorerz;pittsburgh, pennsylvanie;294;328;50;11/2018;meilleure vue sur la vie de mission du 18eme siecle;10/2018
katierosevilleca;roseville california;33;14;50;11/2018;tour exceptionnel de mission san jose.;11/2018
kimberely;tampa, floride;45;5;50;11/2018;beau site historique;11/2018
usalouise;illinois;170;128;50;11/2018;un must;10/2018
margie r;taylor, michigan;31;10;50;11/2018;voir cette mission;10/2018
ken123456;buffalo, new york;39;14;40;11/2018;tres belle mission;04/2018
karen g;las cruces, nouveau mexique;54;8;50;11/2018;belle eglise de mission;10/2018
guitarman4;essex, royaume uni;101;105;50;11/2018;excellentes opportunites de photo;11/2018
tojo25;central california;50;20;50;10/2018;mariachi mass was great;10/2018
lynnleo_13;jacksonville, floride;39;4;50;10/2018;grande histoire;10/2018
ellsworthdmd;las vegas, nevada;40;62;50;10/2018;start your tx history trip here;10/2018
cjlnyc1962;hewitt, new jersey;598;270;40;10/2018;belle eglise;10/2018
