Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
tmarcone;boston;465;271;50;05/2021;may 14 update;05/2021
rebeccass3973et;middle river;12;5;50;05/2021;never get tired of viewing the canyon not from the north or south rim;05/2021
sandilarry l;fort smith, ar;315;84;30;05/2021;shamefully commercialized;05/2021
181timd;wayland, massachusetts, united states;15;8;40;05/2021;south rim trail great but not the whole thing;05/2021
jandk33021;grove, oklahoma;27;15;50;05/2021;try great ventures tour.com;01/2021
yellat72;daytona beach, floride;140;45;50;05/2021;awe inspiring;11/2020
martinjmichael;surfside beach, caroline du sud;120;74;50;05/2021;spectacular 1st visit;05/2021
susan g;maben, mississippi;80;24;50;05/2021;bucket list trip;04/2021
58randyt;palm bay, floride;372;211;50;05/2021;top of the world;05/2021
54tomas;coral springs, floride;143;34;50;05/2021;ok it s our 4th visit;05/2021
881darlal;upper marlboro, maryland;13;25;50;05/2021;worth the drive;05/2021
kuvasz1988;saint paul, minnesota;531;154;50;05/2021;no words;05/2021
mantamoon3;kingwood, texas;76;45;50;05/2021;always amazing;05/2021
sschenck;oviedo, floride;26;11;50;05/2021;spend 3 4 days and go all the way west and east;04/2021
x8568zukarend;leesville, louisiane;81;18;50;05/2021;amazing;04/2021
dbinhou7511;houston, texas;1051;304;50;05/2021;great views almost anywhere along the rim;04/2021
mikeb1952;colorado springs, colorado;894;526;50;04/2021;wow what a sight;04/2021
john s;cape coral, floride;804;438;50;04/2021;one of the most extraordinary national parks;04/2021
paulbeve;ridgeway, caroline du sud;272;101;50;04/2021;awesome;04/2021
robert a;salt lake city, utah;161;244;40;04/2021;a grand hole in the ground;04/2021
tiffanyhc;warrenton, virginie;131;20;40;04/2021;good to say you ve seen  and go for it and get the t shirt;04/2021
diver930351;ocala, floride;15;18;50;04/2021;wow;04/2021
colleen c;troy, etat de new york;365;194;50;04/2021;awe;04/2021
whereswelles;santa ana, californie;42;24;50;04/2021;east entrance open again but desert view stop doesn t have food available;04/2021
bay5;upper peninsula of michigan;75;50;30;04/2021;gc has beauty, but not help or facilities;04/2021
sharon b;tustin, californie;75;36;50;04/2021;spectacular with snow;03/2021
maureen e;charlotte, caroline du nord;32;12;20;04/2021;shuttle mess;04/2021
the_wanderer1992;columbia, maryland;749;305;40;04/2021;beautiful;04/2021
tobydogt;honolulu;86;49;50;04/2021;photos don t do it justice;04/2021
njswede31;york, pennsylvanie;57;37;50;04/2021;wonderful in the snow;03/2021
rdh2017;tennessee;119;53;50;04/2021;one of the seven natural wonders of the world;04/2021
michael h;rocky river, ohio;639;87;50;04/2021;fabulous views;04/2021
elik1265;brooklyn, etat de new york;121;83;50;04/2021;grand canyon;03/2021
381karat;mount horeb, wisconsin;91;44;30;04/2021;lines and lines and lines;04/2021
getreal2me99;honolulu, hawai;105;79;50;04/2021;must see;04/2021
reneecolumbus;columbus, georgie;47;52;30;04/2021;beautiful scenery, covid really messed up food options;04/2021
602samsonl;los angeles, californie;1;2;10;04/2021;traffic is absurdly god awful and infrastructure is completely inadequate;04/2021
pamct9536pi;san lorenzo, californie;29;51;30;03/2021;the good and the bad;03/2021
melvinpusfinger;santa monica, californie;420;191;50;03/2021;wonderful experienceâ€¦ allow extra time for entry;03/2021
lmday99;middleburg, floride;8;17;10;03/2021;don t go until covid is over;03/2021
kelleyb222;lake zurich, illinois;32;49;40;03/2021;grand canyon in 24 hours;03/2021
745brentk;lincoln, nebraska;74;28;50;03/2021;laughlin tours;03/2021
mitchandlee;ramona, californie;16;20;50;03/2021;go early it was worth every moment;03/2021
juliamc329qa;omaha, nebraska;3;4;50;03/2021;a beautiful view;03/2021
wranglernwss;evans, colorado;394;195;50;03/2021;amazing;03/2021
rosehowe0919;conway, caroline du sud;122;96;50;03/2021;stunning views;03/2021
saw55;los angeles, californie;118;57;50;02/2021;great side trip;12/2020
melissaclaire93;cinnaminson, new jersey;414;254;50;02/2021;worth the drive from vegas;12/2020
tworollos;elyria, ohio;39;45;50;02/2021;amazing   a must see on earth;02/2021
kelly0120;saint augustine, floride;34;34;50;02/2021;beautiful grand canyon;03/2020
lori k;fall creek, wisconsin;25;31;40;02/2021;winter in the grand canyon, beware;02/2021
thomas g;fort thomas, kentucky;341;105;50;02/2021;excellent;02/2021
sonyakayd;punta cana;12;33;50;02/2021;grand canyon;02/2021
jennlovesfood;san diego, californie;322;777;50;02/2021;beautiful day trip from williams on the railway;08/2020
shiloh_kirby;oklahoma city, oklahoma;16;23;50;01/2021;sunrise on new year day;01/2021
oldfirechief;muncie, indiana;305;112;50;01/2021;awe inspiring;01/2021
robert k;north lauderdale, floride;81;71;50;01/2021;awesome;12/2020
christine t;monroe, etat de new york;258;175;50;01/2021;stunning;01/2021
jnewm245;boston, massachusetts;8;11;40;01/2021;crowded but must see;12/2020
bosoxbevy;etats unis;13;57;50;01/2021;beautiful;01/2021
savvytravelduo;rogers, arkansas;10;24;50;01/2021;extraordinary location to experience the beauty of god s creation;01/2021
jimcamacho;paranaque, philippines;402;117;40;12/2020;underwhelming given its reputationâ€¦;11/2020
bbanks945;calgary, canada;111;68;50;12/2020;mid december   a great time to visit;12/2020
mariana b;arizona city, arizona;2;2;50;12/2020;fabulous;01/2020
tomg853;myrtle beach, caroline du sud;399;114;40;12/2020;the hole thing;09/2020
snpkelley;uniontown, ohio;377;153;50;12/2020;breathtaking;12/2020
mdgipsy;baltimore, maryland;854;325;50;12/2020;amazing;11/2020
shreyansh182;houston, texas;224;183;50;12/2020;grand canyon doesn t need a â€œreviewâ€;12/2020
feil675;houston, texas;371;153;50;12/2020;best photos at sunrise and sunset;10/2020
jeffrey l;fort pierce, united states;21;22;50;12/2020;breathtaking from every angle;12/2020
mj g;ankeny, iowa;40;12;50;11/2020;one of the wonders of the world;11/2020
bobber84mn;little falls, minnesota;61;32;50;11/2020;breathtaking;11/2020
raymondk364;fredonia, etat de new york;6;6;50;11/2020;should be on everyone s list;12/2019
nomosshere;sacramento, californie;150;65;50;11/2020;breathtaking;10/2020
carolyndc1174pr;eugene, oregon;3;4;50;11/2020;breathtaking views;10/2020
seanforceone;los angeles, californie;4;8;50;11/2020;life on mars;04/2020
eaglesfan27;reading, pennsylvanie;337;251;50;11/2020;fabulous experience;11/2020
hudld;myrtle beach, caroline du sud;209;144;30;11/2020;$35 to get in is crazy;11/2020
atlas993;elk grove, californie;212;116;40;11/2020;itâ€˜s huge;10/2020
rodney b;waukesha, wisconsin;746;285;50;11/2020;beautiful views;11/2020
klukan;cedar rapids, iowa;122;42;50;11/2020;breath taking;11/2020
travelingsoccerloon;saint paul, minnesota;842;565;50;11/2020;spectacular;10/2020
thomas w;estes park, colorado;360;105;50;11/2020;awesome;11/2020
chriscarlspencer;dutch john, utah;145;83;40;11/2020;breathtaking;11/2020
firedragon3d;austin, texas;35;28;50;11/2020;raw nature and water power;11/2020
jerrykg6226yr;duarte, californie;1;3;40;11/2020;down angle falls trail in a summer thunderstorm;08/2020
peskyh;shreveport, louisiane;50;50;40;11/2020;breathtaking scenery;09/2020
hearditbothways;hazlet, new jersey;377;398;50;11/2020;stunning views and pandemic friendly;10/2020
larryw4405;cookeville, tennessee;148;106;50;11/2020;plan ahead with your meal planning.;10/2020
brian b;houston, texas;77;67;50;10/2020;day visit to grand canyon;10/2020
sandiablonde;edgewood, nouveau mexique;402;287;50;10/2020;still an incredible sight.;10/2020
susan d;muskogee, oklahoma;41;60;50;10/2020;great experience with the grandson;10/2020
patricia w;mesa, arizona;1421;406;50;10/2020;perfect;10/2020
carolinabeachgirl;north tazewell, virginie;43;53;50;10/2020;vegas trip;10/2020
lnsons1;tucson, arizona;2;2;50;10/2020;el tovar hotel;08/2020
kareng98;san antonio, texas;464;142;50;10/2020;breathtaking   just beyond words;10/2020
katie d;tampa, floride;32;59;50;10/2020;rim trail was a highlight;10/2020
char j;indianapolis, indiana;174;98;50;10/2020;wow just wow;10/2020
cofcmom;abbeville, caroline du sud;177;109;50;10/2020;driving the scenic drive.;10/2020
alexh11899;oklahoma city, oklahoma;197;94;50;10/2020;stunning and fun;10/2020
sharonsjohnsontravel;lafayette, louisiane;21;43;50;10/2020;amazing;09/2020
rosentb1;charlotte, caroline du nord;37;27;50;10/2020;absolutely beautiful;10/2020
martletwyontour;pays de galles, royaume uni;51;59;50;10/2020;out of this world;01/2020
nyackgirl47;new york, etat de new york;555;303;50;10/2020;spectacular;09/2020
daverocksme;las vegas, nevada;5;7;50;09/2020;hiking kaibab trail to skeleton point;09/2020
ceohotelreviewer;philadelphie, pennsylvanie;20;44;50;09/2020;grand canyon tour;12/2019
weekendtraveler2018;columbus, ohio;41;39;50;09/2020;amazing destination right here in our own usa   go see it;09/2020
randy h;tucson, arizona;11;29;50;09/2020;train trip of a life time;09/2020
n_and_r;fishers, indiana;404;262;50;09/2020;an outstanding visit to the south rim;09/2020
tony_15_108;gulfport, mississippi;70;67;50;09/2020;i can tell you but you have to see it.;09/2020
adventuresofbink;mountlake terrace, etat de washington;33;49;50;09/2020;not just a big hole in the ground;05/2020
redleg93;maple grove, minnesota;1237;400;50;09/2020;incredible views you can t capture in photos;09/2020
wfan1612;berlin, allemagne;66;71;50;09/2020;grand canyon is a must experience;10/2019
djd texas;houston;71;46;50;09/2020;one of my most favorite places on earth;09/2020
sdpeterson;la quinta, californie;414;110;50;09/2020;the grand canyon is simply grand;08/2020
imthecraziestdude;singapour, singapour;234;223;50;09/2020;a wonderful day   epic view one of the best thing that i had ever done;11/2019
wanderingspec;chandler, arizona;68;44;50;09/2020;spectacular;09/2020
gregory f;new york, etat de new york;8;10;50;09/2020;bucket list experience;09/2020
trouthook69;belton, texas;464;136;50;09/2020;first trip to south rim;09/2020
gillespiekc;fort myers, florida;4;5;50;09/2020;spectacular, informative and entertaining journey around the south rim (and then some...);08/2020
mbandjt;tucson, arizona;18;23;50;08/2020;beautiful drive;08/2020
globalroamer345;australie;52;84;50;08/2020;unforgettable day;09/2019
saltlifecoop;temple, texas;5;5;50;08/2020;bucket list must;08/2020
jockomojo;fontana, californie;35;50;50;08/2020;the canyon amidst the pandemic . . .;08/2020
bluescpl;wheeling, virginie occidentale;50;62;50;08/2020;wonderful;08/2020
laaaasvegas;las vegas;62;32;50;08/2020;nature s beauty;08/2020
aaburnett;campobello, caroline du sud;66;33;50;08/2020;stunning;08/2020
fulvio972;turin, italie;230;154;50;08/2020;outstanding scenery;09/2019
beelittle;downers grove, illinois;467;289;50;08/2020;it s a must;10/2019
rippedoff42;oklahoma city, oklahoma;239;99;40;08/2020;enjoyed it;07/2020
brett l;georgetown, texas;239;111;50;08/2020;easiest 5 star rating of my life;08/2020
stevek9829te;comte d orange, californie;218;147;50;08/2020;south rim of the grand canyon;07/2020
bobnuke_83;greenville, caroline du sud;3;6;40;08/2020;grand canyon is a must do;07/2020
tutinspony;phoenix, arizona;821;361;50;08/2020;a must when in the southwest usa.;08/2020
iowarhino13;saint paul, minnesota;51;37;50;08/2020;grand canyon experience;06/2020
matt_purdyy;seend, royaume uni;6;7;50;08/2020;the greatest experience of my life;03/2020
lqs;huntington beach, californie;86;60;50;07/2020;worth a visit on a clear day;06/2020
mcbubby;reno, nevada;65;45;50;07/2020;how could you rate less than 5;07/2020
f s;tacoma, etat de washington;5;12;10;07/2020;national park service reservations   ripoff warning;07/2020
reconcitomex;walt disney world, floride;9;13;50;07/2020;beautiful but demands respect;07/2020
4stevemandy;seal beach, californie;108;57;50;07/2020;amazing to see;08/2019
curtisjamesh;oklahoma city, oklahoma;64;51;50;07/2020;best place to visit before life ends;03/2020
johncolo;windsor, colorado;257;110;30;07/2020;unbelievable views.;07/2020
nickellfamilytravel;los angeles, californie;1479;640;50;07/2020;absolutely stunning;06/2020
3scs;fort worth, texas;61;99;50;07/2020;perfect 1 day excursion;06/2020
500sammyn;rancho cordova, californie;98;105;50;07/2020;beautiful and amazing;06/2020
cheryll m;greater adelaide, australie;271;179;40;07/2020;amazing grand canyon;09/2019
noworries2000;federal way, etat de washington;773;418;50;07/2020;grand canyon during covid   crowds way down enjoy;07/2020
love2quilt2;lucedale, mississippi;83;72;50;07/2020;amazing views;07/2020
benl;annapolis;121;115;50;07/2020;it s the grand canyon, it s grand;07/2020
samjj2657pt;new york, etat de new york;14;31;50;07/2020;amazing view but avoid summer months;07/2020
loveharleyrider;martin, tennessee;90;76;50;07/2020;2020 vacation;06/2020
timbos;houston, texas;37;53;50;07/2020;sizemore  clatterbuck grand canyon sedona;07/2020
ben h;katy, texas;303;194;50;07/2020;beautiful place;07/2020
kimb4615;mcdonough, georgie;30;48;50;07/2020;beautiful;07/2020
stormyandkathy;arlington, texas;64;48;50;07/2020;yes, it is grand;02/2020
alanap781;nashville, tennessee;55;29;50;07/2020;most beautiful place i ve ever been;07/2020
kathy h;irvine, californie;229;85;40;07/2020;too many people and the views are ok;07/2019
rich9934;midlothian, texas;5;5;50;06/2020;awesome;06/2020
jason s;reedsburg, wisconsin;558;247;50;06/2020;awesome;06/2020
travelinganthony;hampstead, caroline du nord;34;46;50;06/2020;the height of beauty;06/2020
susanls4705py;santa fe, united states;93;50;50;06/2020;great visit during covid times;06/2020
leowincheste;suede;3;5;50;06/2020;an incredible day grand canyon;08/2019
experience740753;albany, oregon;49;47;50;06/2020;memorial day;05/2020
dunn45;draper, utah;528;199;50;06/2020;no crowds;06/2020
russell3939;castle rock, colorado;522;332;50;06/2020;go now, no crowds;06/2020
50stateswithtwins;saint louis, missouri;195;169;50;06/2020;no crowds after shutdown;06/2020
callowe;metairie, louisiane;39;39;50;06/2020;grand canyon during covid;06/2020
searchin4vacays;sahuarita, arizona;158;100;50;05/2020;vast and beautiful;05/2020
kododrummer;iekaterinbourg, russie;3219;138696;50;05/2020;fantastic red rock layered rainbows of the grand canyon;03/2020
lawman357kc;kansas city, missouri;5;8;50;04/2020;life changing...;05/2019
teddeyp;las cruces, nouveau mexique;5;8;50;04/2020;bucketlist check;03/2020
twotravelers245;peachtree city, georgie;208;93;50;04/2020;breathtaking;03/2020
jason b;tucson, arizona;491;336;50;04/2020;amazing;03/2020
mr_travels1920;woking, royaume uni;224;241;50;04/2020;a  must see ;02/2020
jennifer b;knoxville, tennessee;92;66;50;04/2020;great national treasure;03/2020
